"list_name","name","label::English (en)"
,,
"Common Lists",,
"yn","1","Yes"
"yn","0","No"
"yn","-99","Don't know / Refused to answer"
"yn_noref","1","Yes"
"yn_noref","0","No"
"area_units","name","label"
"weight_units","name","label"
"currency","USD","USD-United States dollar"
"currency","EUR","EUR-Euro"
"currency","ETB","ETB-Ethiopian birr"
"currency","KES","KES-Kenyan shilling"
"currency","MGA","MGA-Malagasy ariary"
"currency","XOF","XOF - West African Franc"
"currency","1","Other (specify)"
"important","1","Irrelevant"
"important","2","Not very important"
"important","3","Neutral"
"important","4","Important"
"important","5","Very important"
"positive_negative","5","Mostly positive"
"positive_negative","4","Positive"
"positive_negative","3","Neutral"
"positive_negative","2","Negative"
"positive_negative","1","Mostly negative"
"gender","1","Male"
"gender","2","Female"
,,
"Survey Start",,
"enumerator","name","label"
"enumerator","77","Name not on the list / other"
,,
"locations","id","name"
"farms","id","code"
"farms","-99","Farm not displayed in list"
,,
"Step 0",,
"output","1","Crops and crop products"
"output","2","Animals (including fish) and animal products"
"output","3","Fruit trees"
"output","4","Timber trees"
"output","5","Non-timber forest products"
"output","77","Other"
,,
,,
"Step 1 - CAET",,
"caet_crop_diversity","score","definition"
"caet_animal_diversity","score","definition"
"caet_tree_diversity","score","definition"
"caet_activity_diversity","score","definition"
,,
"caet_crop_livestock_integration","score","definition"
"caet_soil_management","score","definition"
"caet_tree_integration","score","definition"
"caet_connectivity","score","definition"
,,
"caet_recycling_biomass","score","definition"
"caet_waste_management","score","definition"
"caet_water_recycling","score","definition"
"caet_energy_reduction","score","definition"
,,
"caet_external_inputs","score","definition"
"caet_soil_fertility","score","definition"
"caet_pest_diseases","score","definition"
,,
"caet_vulnerability","score","definition"
"caet_resiliance","score","definition"
,,
"caet_diet","score","definition"
"caet_food","score","definition"
"caet_food_hetitage","score","definition"
"caet_seeds_breeds","score","definition"
,,
"caet_ae_knowledge","score","definition"
"caet_social_platforms","score","definition"
"caet_participation_orgs","score","definition"
,,
"caet_women","score","definition"
"caet_labour","score","definition"
"caet_youth","score","definition"
"caet_animal_welfare","score","definition"
,,
"caet_market_local","score","definition"
"caet_producer_networks","score","definition"
"caet_local_fs","score","definition"
,,
"caet_producer_empowerment","score","definition"
"caet_producer_organisations","score","definition"
"caet_inclusive_decisions","score","definition"
,,
"Step 2",,
"Formal Documents",,
"docs","1","Title deed"
"docs","2","Certificate of customary tenure"
"docs","3","Certificate of occupancy"
"docs","4","Registered will or registered certificate of hereditary acquisition"
"docs","5","Registered certificate of perpetual / long term lease"
"docs","6","Registered rental contract"
"docs","7","Secure mobility corridor"
"docs","77","Other"
,,
"Crops and Forestry Outputs",,
"crops","name","label"
"crops","77","Other"
"crop_forestry_products","name","label"
"crop_forestry_products","77","Other"
"crop_forestry_products","-97","None"
"product_units","kg","Kg"
"product_units","l","L"
"product_units","num","Number of"
"product_units","oth","Other"
"natural_vegitation","1","Absent: area covered with natural or diverse vegetation is negligible."
"natural_vegitation","2","Small: less than 10% of the system is covered with natural or diverse vegetation."
"natural_vegitation","3","Significant: at least 20% of the system is covered with natural or diverse vegetation."
"natural_vegitation","4","Abundant: more than 25% of the system is covered with natural or diverse vegetation."
"beekeeping","1","Yes, bees are raised and are very abudant within the agroecosystem."
"beekeeping","2","Yes, bees are raised within the agroecosystem."
"beekeeping","3","No, bees are not raised, but bees and pollinators are widespread within the agroecosystem."
"beekeeping","4","No, bees are not raised and are rare within the agroecosystem."
"pollinators","1","Abundant"
"pollinators","2","Significant"
"pollinators","3","Little"
"pollinators","4","Absent"
,,
"Animal Outputs",,
"animals","name","label"
"animals","77","Other"
"animal_products","name","label"
"animal_products","77","Other"
"animal_products","-97","None"
"pasture","1","Mostly with feed"
"pasture","2","Both with feed and on pasture"
"pasture","3","Only on pasture"
,,
"Activities",,
"activity","1","Agrotourism / ecotourism"
"activity","2","Transformation of products on farm"
"activity","3","Livestock services (rent, breeing services, others)"
"activity","4","Seed production"
"activity","5","Greenhouse or nursery sale"
"activity","6","Compost and organic fertilizers sale"
"activity","7","Rental of farm equipment (machineries, or similar)"
"activity","8","Rental of land"
"activity","9","Workshop or training"
"activity","10","Renawble energy sale"
"activity","11","Farm based events"
"activity","12","Carbon credits"
"activity","77","Other (please specify)"
,,
"Financial Info",,
"sources","1","crop production"
"sources","2","animal production"
"sources","3","other income-generating activities on farm"
"sources","4","salary earned off farm"
"sources","5","remittances from a family member emigrated"
"sources","77","other (please specify)"
"product_destinations","1","Sale"
"product_destinations","2","Mostly sale and a small part of self-consumption"
"product_destinations","3","Equally sale and self-consumption"
"product_destinations","4","Mostly self-consumption and a small part of sale"
"product_destinations","5","Self-consumption"
"income_compare","1","Much more income"
"income_compare","2","More income"
"income_compare","3","Same income"
"income_compare","4","Less income"
"income_compare","5","Much less income"
"stable_income","0","Very unstable and decreasing trend."
"stable_income","1","Unstable with notable fluctuations."
"stable_income","2","Neutral, sometimes up, sometimes down."
"stable_income","3","Stable with minor fluctuations."
"stable_income","4","Very stable and growing trend."
"comparison","0","much worse"
"comparison","1","worse"
"comparison","2","same"
"comparison","3","better"
"comparison","4","much better"
"envision_future","0","I am very concerned that the agricultural production on my farm will decline, jeopardizing my household's livelihood."
"envision_future","1","I have doubts about the future of my agricultural production, and I'm uncertain if it will be able to fully sustain my household's livelihood."
"envision_future","2","My agricultural production will probably remain at the same level without significant changes."
"envision_future","3","I am hopeful about the future of my agricultural production, and I believe it will bring some improvements to my household's livelihood."
"envision_future","4","I am very confident that the agricultural production on my farm will thrive and continue to sustain my household's livelihood for many years to come."
,,
"Pesticides",,
"pesticide_units","l","Liters"
"pesticide_units","g","Grams"
"toxicity","1","Extremely/highly toxic"
"toxicity","2","Moderately toxic"
